NIF empresa,Nº de orden,Nombre empresa,Teléfono gratuito incidencias,Portal de medidas
B22215487,R1-285,ENERGIAS DE BENASQUE S.L,900 102 303,https://portal.asemeservicios.com
B43986918,R1-360,"ELECTRICA MUNICIPAL DE SANTA COLOMA DE QUERALT, SL",900 102 377,https://portal.asemeservicios.com
B63695167,R1-365,ELECTRA REDENERGIA SL,900 373 576,http://gestio.electraredenergia.com
B29749199,R1-196,ELECTRICA SERRANIA DE RONDA S.L,900 10 30 56,https://portal.asemeservicios.com
A22004675,R1-251,SERVICIOS URBANOS DE CERLER S.A.,900 102 387,https://portal.asemeservicios.com
B32274680,R1-081,"SAN MIGUEL 2000, DISTRIBUCIÓN ELÉCTRICA, S.L.U",900 100 202,https://portal.asemeservicios.com
A51004166,R1-030,"EMPRESA DE ALUMBRADO ELÉCTRICO DE CEUTA DISTRIBUCIÓN, SAU",900 850 840,https://zonaprivada.edistribucion.com/areaprivada
B36000917,R1-068,COMPAÑÍA DE ELECTRIFICACION S.L,900 102 196,http://www.concentradorsecundario.com/PVPC
B15555824,R1-275,"ELÉCTRICA DE VALDRIZ, S L",900 10 26 15,http://www.valdriz.es/clientes/pvpc
B04299459,R1-276,"IGNALUZ JIMÉNEZ DE TORRES, S.L",900 373 661,https://ignaluzjimenezdetorres.cide.net/clientes/pvpc
B25445693,R1-224,DISTRIBUIDORA ELECTRICA MONTOLIU SL,900 103 601,https://portal.asemeservicios.com
B25483967,R1-351,ELECTRICA SUDANELL SL,900 103 648,https://portal.asemeservicios.com
B22025282,R1-125,ELECTRICA DE ERISTE SL,900 373 375,http://www.concentradorsecundario.com/PVPC
B14966469,R1-025,"INPECUARIAS POZOBLANCO, S.L.",900 373 207,https://inpecuariaspozoblanco.cide.net/
B14496004,R1-247,"INPECUARIAS TORRECAMPO, S.L.",900 373 207,https://inpecuariastorrecampo.cide.net/clientes/pvpc
B36120673,R1-080,"HIDROELECTRICA DEL ARNEGO, S.L",800 808 139,http://www.hdelarnego.com/clientes/pvpc
B15207103,R1-242,"CENTRAL ELECTRICA INDUSTRIAL, S.L",900 834 409,http://www.centralei.es/clientes/pvpc
