id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_energy_selfconsumption_selfconsumption_user,energy_selfconsumption.selfconsumption.user,model_energy_selfconsumption_selfconsumption,energy_project.group_user,1,0,0,0
access_energy_selfconsumption_supply_point_user,energy_selfconsumption.supply_point.user,model_energy_selfconsumption_supply_point,energy_project.group_user,1,0,0,0
access_energy_selfconsumption_distribution_table_user,energy_selfconsumption.distribution_table.user,model_energy_selfconsumption_distribution_table,energy_project.group_user,1,0,0,0
access_energy_selfconsumption_supply_point_assignation_user,energy_selfconsumption.supply_point_assignation.user,model_energy_selfconsumption_supply_point_assignation,energy_project.group_user,1,0,0,0
access_energy_selfconsumption_selfconsumption_admin,energy_selfconsumption.selfconsumption.admin,model_energy_selfconsumption_selfconsumption,energy_project.group_admin,1,1,1,1
access_energy_selfconsumption_supply_point_admin,energy_selfconsumption.supply_point.admin,model_energy_selfconsumption_supply_point,energy_project.group_admin,1,1,1,1
access_energy_selfconsumption_distribution_table_admin,energy_selfconsumption.distribution_table.admin,model_energy_selfconsumption_distribution_table,energy_project.group_admin,1,1,1,1
access_energy_selfconsumption_supply_point_assignation_admin,energy_selfconsumption.supply_point_assignation.admin,model_energy_selfconsumption_supply_point_assignation,energy_project.group_admin,1,1,1,1
access_energy_selfconsumption_selfconsumption_import_wizard_admin,energy_selfconsumption.selfconsumption_import.wizard.admin,model_energy_selfconsumption_selfconsumption_import_wizard,energy_project.group_admin,1,1,1,1
access_energy_selfconsumption_distribution_table_import_wizard_admin,energy_selfconsumption.distribution_table_import.wizard.admin,model_energy_selfconsumption_distribution_table_import_wizard,energy_project.group_admin,1,1,1,1
access_energy_selfconsumption_contract_generation_wizard_admin,energy_selfconsumption.contract_generation.wizard.admin,model_energy_selfconsumption_contract_generation_wizard,energy_project.group_admin,1,1,1,1
accces_energy_selfconsumption_coefficient_report,energy_selfconsumption.coefficient_report.admin,model_energy_selfconsumption_coefficient_report,energy_project.group_admin,1,1,1,1
access_energy_selfconsumption_define_invoicing_mode_wizard_admin,energy_selfconsumption.define_invoicing_mode.wizard.admin,model_energy_selfconsumption_define_invoicing_mode_wizard,energy_project.group_admin,1,1,1,1
access_energy_selfconsumption_invoicing_wizard_admin,energy_selfconsumption.invoicing.wizard.admin,model_energy_selfconsumption_invoicing_wizard,energy_project.group_admin,1,1,1,1
